"Field","Year","Unemployment rate",""
"","","Early-career bachelor's degree holders","Prime-age bachelor's degree holders"
"Business and communications","2022","5.1%","3.0%"
"Business and communications","2021","6.1%","3.5%"
"Business and communications","2020","6.2%","3.6%"
"Business and communications","2019","5.8%","3.2%"
"Business and communications","2018","4.9%","2.6%"
"Business and communications","2017","5.0%","2.7%"
"Business and communications","2016","5.2%","2.9%"
"Business and communications","2015","5.4%","3.2%"
"Business and communications","2014","5.9%","3.6%"
"Business and communications","2013","6.5%","4.0%"
"Business and communications","2012","7.1%","4.5%"
"Business and communications","2011","7.4%","5.1%"
"Business and communications","2010","7.5%","5.3%"
"Career focused","2022","4.9%","2.6%"
"Career focused","2021","6.2%","3.3%"
"Career focused","2020","6.1%","3.3%"
"Career focused","2019","5.7%","2.9%"
"Career focused","2018","4.7%","2.5%"
"Career focused","2017","5.2%","2.8%"
"Career focused","2016","5.6%","3.0%"
"Career focused","2015","5.9%","3.2%"
"Career focused","2014","6.4%","3.4%"
"Career focused","2013","6.6%","3.8%"
"Career focused","2012","6.8%","4.3%"
"Career focused","2011","7.0%","4.7%"
"Career focused","2010","7.0%","4.7%"
"Education and public service","2022","3.2%","2.1%"
"Education and public service","2021","3.7%","2.5%"
"Education and public service","2020","3.5%","2.6%"
"Education and public service","2019","3.2%","2.3%"
"Education and public service","2018","2.7%","1.8%"
"Education and public service","2017","3.0%","2.0%"
"Education and public service","2016","3.5%","2.4%"
"Education and public service","2015","4.1%","2.8%"
"Education and public service","2014","4.5%","3.2%"
"Education and public service","2013","4.9%","3.5%"
"Education and public service","2012","5.4%","3.8%"
"Education and public service","2011","5.7%","4.1%"
"Education and public service","2010","5.6%","4.1%"
"Healthcare","2022","3.4%","1.9%"
"Healthcare","2021","4.1%","2.2%"
"Healthcare","2020","4.3%","2.3%"
"Healthcare","2019","4.2%","2.1%"
"Healthcare","2018","3.6%","1.8%"
"Healthcare","2017","3.8%","1.8%"
"Healthcare","2016","3.8%","1.9%"
"Healthcare","2015","4.0%","2.1%"
"Healthcare","2014","4.6%","2.3%"
"Healthcare","2013","5.0%","2.5%"
"Healthcare","2012","5.9%","2.7%"
"Healthcare","2011","6.0%","2.8%"
"Healthcare","2010","5.7%","2.5%"
"Humanities and the arts","2022","7.7%","4.1%"
"Humanities and the arts","2021","9.6%","5.3%"
"Humanities and the arts","2020","9.1%","5.2%"
"Humanities and the arts","2019","8.0%","4.6%"
"Humanities and the arts","2018","5.8%","3.5%"
"Humanities and the arts","2017","6.1%","3.7%"
"Humanities and the arts","2016","6.5%","3.9%"
"Humanities and the arts","2015","7.2%","4.2%"
"Humanities and the arts","2014","7.7%","4.6%"
"Humanities and the arts","2013","8.3%","5.3%"
"Humanities and the arts","2012","8.6%","6.0%"
"Humanities and the arts","2011","9.1%","6.6%"
"Humanities and the arts","2010","9.8%","6.7%"
"Multidisciplinary studies","2022","4.3%","3.1%"
"Multidisciplinary studies","2021","5.2%","3.5%"
"Multidisciplinary studies","2020","4.5%","3.5%"
"Multidisciplinary studies","2019","5.1%","3.0%"
"Multidisciplinary studies","2018","5.2%","2.6%"
"Multidisciplinary studies","2017","5.9%","2.9%"
"Multidisciplinary studies","2016","5.7%","3.1%"
"Multidisciplinary studies","2015","5.8%","3.6%"
"Multidisciplinary studies","2014","6.6%","4.2%"
"Multidisciplinary studies","2013","6.4%","4.4%"
"Multidisciplinary studies","2012","6.3%","4.6%"
"Multidisciplinary studies","2011","6.2%","4.5%"
"Multidisciplinary studies","2010","7.9%","4.7%"
"Social sciences","2022","6.3%","3.6%"
"Social sciences","2021","7.3%","4.4%"
"Social sciences","2020","6.9%","4.4%"
"Social sciences","2019","6.6%","3.9%"
"Social sciences","2018","5.8%","3.1%"
"Social sciences","2017","6.2%","3.3%"
"Social sciences","2016","6.3%","3.5%"
"Social sciences","2015","6.4%","3.9%"
"Social sciences","2014","7.0%","4.5%"
"Social sciences","2013","7.8%","5.1%"
"Social sciences","2012","9.0%","5.6%"
"Social sciences","2011","9.6%","6.0%"
"Social sciences","2010","9.1%","6.0%"
"STEM","2022","5.2%","2.6%"
"STEM","2021","6.2%","3.1%"
"STEM","2020","6.5%","3.2%"
"STEM","2019","6.0%","2.9%"
"STEM","2018","5.4%","2.5%"
"STEM","2017","5.4%","2.6%"
"STEM","2016","5.7%","2.8%"
"STEM","2015","5.9%","2.9%"
"STEM","2014","6.1%","3.3%"
"STEM","2013","6.5%","3.6%"
"STEM","2012","6.7%","4.0%"
"STEM","2011","7.6%","4.6%"
"STEM","2010","7.6%","4.9%"

